Annihilation Constrain Sphere,"1- Particle Collider,1- Processor"
Antimatter Capsule,"1- Plasma Capsule,1- Particle Container,10- Hydrogen,10- Antimatter"
Antimatter Fuel Rod,"12- Antimatter,12- Hydrogen,1- Annihilation Constrains Sphere,1- Titanium Alloy"
Attack Drone,"1- Prototype,1- Electromagnetic Turbine,1- Processor,1- Particle Container"
Carbon Nanotube,"3- Graphene,1- Titanium Ingot"
Carbon Nanotube,"6- Stalagmite Crystal"
Casimir Crystal,"1- Titanium Crystal,2- Graphene,12- Hydrogen"
Casimir Crystal,"3- Grating Crystal,2- Graphene,12- Hydrogen"
Circuit Board,"2- Iron Ingot,1- Copper Ingot"
Combustible Unit,"3- Coal"
Copper Ingot,"1- Copper Ore"
Corvette,"5- Titanium Alloy,1- Reinforced Thruster,2- Processor,3- Particle Container"
Crystal Explosive Unit,"8- Combustible Unit,1- Casimir Crystal,8- Crystal Silicon"
Crystal Shell Set,"1- High-Explosive Shell Set,3- Titanium Alloy,2- Crystal Explosive Unit"
Crystal Silicon,"1- High-Purity Silicon"
Crystal Silicon,"1- Fractal Silicon"
Destroyer,"20- Frame Material,4- Reinforced Thruster,4- Processor,1- Strange Matter"
Deuterium,"10- Hydrogen"
Deuteron Fuel Rod,"1- Titanium Alloy,20- Hydrogen,1- Supermagnetic Ring"
Diamond,"1- Energetic Graphite"
Diamond,"1- Kimberlite Ore"
Deuterium Fractionation,"1- Hydrogen"
Dyson Sphere Component,"3- Frame Material,3- Solar Sail,3- Processor"
Electric Motor,"2- Iron Ingot,1- Gear,1- Magnetic Coil"
Electromagnetic Turbine,"2- Electric Motor,2- Electromagnetic Coil"
Electromagnetic Matrix,"1- Magnetic Coil,1- Circuit Board"
Energetic Graphite,"2- Coal"
Energy Matrix,"2- Energetic Graphite,2- Hydrogen"
Engine,"1- Magnetic Coil,2- Copper Ingot"
Explosive Unit,"2- Combustible Unit,2- Plastic,1- Sulfuric Acid"
Foundation,"3- Stone Brick,1- Steel"
Frame Material,"4- Carbon Nanotube,1- Titanium Alloy,1- High-Purity Silicon"
Gear,"1- Iron Ingot"
Glass,"4- Stone"
Graphene,"1- Sulfuric Acid,3- Energetic Graphite"
Graphene,"2- Fire Ice"
Gravitation Lens,"4- Diamond,1- Strange Matter"
Gravity Matrix,"1- Graviton Lens,1- Quantum Chip"
Gravity Missile Set,"3- Supersonic Missile Set,6- Crystal Explosive Unit,3- Strange Matter"
High-Explosive Shell Set,"1- Shell Set,6- Titanium Ingot,2- Explosive Unit"
High-Purity Silicon,"2- Silicon Ore"
Hydrogen Fuel Rod,"10- Hydrogen,1- Titanium Ingot"
Information Matrix,"2- Processor,1- Particle Broadband"
Interstellar Logistics Carrier,"10- Titanium Alloy,10- Processor,2- Reinforced Thruster"
Iron Ingot,"1- Iron Ore"
Jamming Capsule,"1- Electromagnetic Turbine,1- Plasma Exciter,3- Hydrogen"
Logistics Bot,"2- Iron Ingot,1- Engine,1- Processor"
Logistics Drone,"5- Iron Ingot,2- Processor,2- Thruster"
Magnet,"1- Iron Ore"
Magnetic Coil,"2- Magnet,1- Copper Ingot"
Magnum Ammo Box,"3- Copper Ingot"
Mass Energy Storage,"2- Critical Photon"
Microcrystalline Component,"2- High-Purity Silicon,1- Copper Ingot"
Missile Set,"6- Copper Ingot,3- Circuit Board,2- Combustible Unit,1- Engine"
Organic Crystal,"2- Plastic,1- Refined Oil,1- Water"
Particle Broadband,"2- Carbon Nanotube,2- Crystal Silicon,1- Plastic"
Particle Container,"2- Electromagnetic Turbine,2- Copper Ingot,2- Graphene"
Particle Container,"10- Unipolar Magnet,2- Copper Ingot"
Photon Combiner,"2- Prism,1- Circuit Board"
Photon Combiner,"1- Grating Crystal,1- Circuit Board"
Plane Filter,"1- Casimir Crystal,2- Titanium Glass"
Plasma Capsule,"1- Graphene,2- Magnet,10- Deuterium"
Plasma Exciter,"4- Magnetic Coil,2- Prism"
Plasma Refining,"1- Crude Oil,2- Hydrogen"
Plastic,"1- Energetic Graphite,2- Refined Oil"
Precision Drone,"1- Prototype,1- Electromagnetic Turbine,2- Circuit Board,2- Photon Combiner"
Prism,"3- Glass"
Processor,"2- Circuit Board,2- Microcrystalline Component"
Proliferator MK I,"1- Coal"
Proliferator MK II,"2- Proliferator MK I,1- Diamond"
Proliferator MK III,"2- Proliferator MK II,1- Carbon Nanotube"
Prototype,"3- Iron Ingot,1- Engine,2- Circuit Board,1- Plasma Exciter"
Quantum Chip,"2- Processor,2- Plane Filter"
Reformed Refinement,"2- Refined Oil,1- Hydrogen,1- Coal"
Reinforced Thruster,"5- Titanium Alloy,5- Electromagnetic Turbine"
Shell Set,"9- Copper Ingot,2- Combustible Unit"
Silicon Ore,"10- Stone"
Small Carrier Rocket,"2- Dyson Sphere Component,4- Deuteron Fuel Rod,2- Quantum Chip"
Solar Sail,"1- Graphene,1- Photon Combiner"
Space Warper,"1- Graviton Lens"
Space Warper,"1- Gravity Matrix"
Steel,"3- Iron Ingot"
Stone Brick,"1- Stone"
Strange Annihilation Fuel Rod,"8- Antimatter Fuel Rod,1- Core Element,2- Strange Matter,1- Frame Material"
Strange Matter,"2- Particle Container,2- Iron Ingot,10- Deuterium"
Structure Matrix,"1- Diamond,1- Titanium Crystal"
Sulfuric Acid,"6- Refined Oil,8- Stone,4- Water"
Superalloy Ammo Box,"1- Titanium Ammo Box,1- Titanium Alloy"
Super-Magnetic Ring,"2- Electromagnetic Turbine,3- Magnet,1- Energetic Graphite"
Supersonic Missile Set,"2- Missile Set,4- Processor,4- Explosive Unit,2- Thruster"
Suppressing Capsule,"2- Jamming Capsule,1- Supermagnetic Ring,2- Titanium Glass"
Thruster,"2- Steel,3- Copper Ingot"
